auction_test
TEMP	EMBEDDING		GENERATOR	WEAK	STRONG	EMB	TIME
0.2	granite-embedding	gemma		0.0%	0.0%	50.0%	13.3
0.4	granite-embedding	gemma		0.0%	0.0%	50.0%	13.31
0.6	granite-embedding	gemma		0.0%	0.0%	50.0%	13.31
0.8	granite-embedding	gemma		0.0%	0.0%	50.0%	13.3
1.0	granite-embedding	gemma		0.0%	0.0%	50.0%	13.31
0.0	granite-embedding	gemma2		50.0%	0.0%	50.0%	19.83
0.2	granite-embedding	gemma2		50.0%	0.0%	50.0%	14.25
0.4	granite-embedding	gemma2		50.0%	0.0%	50.0%	14.06
0.6	granite-embedding	gemma2		50.0%	0.0%	50.0%	14.12
0.8	granite-embedding	gemma2		50.0%	0.0%	50.0%	14.1
1.0	granite-embedding	gemma2		50.0%	0.0%	50.0%	14.07
0.0	granite-embedding	codegemma	0.0%	0.0%	50.0%	18.61
0.2	granite-embedding	codegemma	0.0%	0.0%	50.0%	13.28
0.4	granite-embedding	codegemma	0.0%	0.0%	50.0%	13.26
0.6	granite-embedding	codegemma	0.0%	0.0%	50.0%	13.3
0.8	granite-embedding	codegemma	0.0%	0.0%	50.0%	13.27
1.0	granite-embedding	codegemma	0.0%	0.0%	50.0%	13.29
0.0	granite-embedding	llama3.1	100.0%	100.0%	50.0%	16.24
0.2	granite-embedding	llama3.1	100.0%	100.0%	50.0%	10.47
0.4	granite-embedding	llama3.1	100.0%	100.0%	50.0%	10.47
0.6	granite-embedding	llama3.1	50.0%	50.0%	50.0%	11.03
0.8	granite-embedding	llama3.1	50.0%	50.0%	50.0%	10.52
1.0	granite-embedding	llama3.1	50.0%	50.0%	50.0%	10.49
0.0	granite-embedding	llama3.2	0.0%	0.0%	50.0%	4.0
0.2	granite-embedding	llama3.2	0.0%	0.0%	50.0%	0.46
0.4	granite-embedding	llama3.2	0.0%	0.0%	50.0%	0.44
0.6	granite-embedding	llama3.2	0.0%	0.0%	50.0%	0.44
0.8	granite-embedding	llama3.2	0.0%	0.0%	50.0%	0.44
1.0	granite-embedding	llama3.2	0.0%	0.0%	50.0%	0.44
0.0	granite-embedding	codellama	0.0%	0.0%	50.0%	14.55
0.2	granite-embedding	codellama	0.0%	0.0%	50.0%	9.92
0.4	granite-embedding	codellama	0.0%	0.0%	50.0%	9.87
0.6	granite-embedding	codellama	0.0%	0.0%	50.0%	10.02
0.8	granite-embedding	codellama	0.0%	0.0%	50.0%	9.96
1.0	granite-embedding	codellama	0.0%	0.0%	50.0%	10.57
0.0	granite-embedding	tinyllama	0.0%	0.0%	50.0%	1.79
0.2	granite-embedding	tinyllama	0.0%	0.0%	50.0%	0.46
0.4	granite-embedding	tinyllama	0.0%	0.0%	50.0%	0.53
0.6	granite-embedding	tinyllama	0.0%	0.0%	50.0%	0.52
0.8	granite-embedding	tinyllama	0.0%	0.0%	50.0%	0.47
1.0	granite-embedding	tinyllama	0.0%	0.0%	50.0%	0.4
0.0	granite-embedding	phi3		0.0%	0.0%	50.0%	7.37
0.2	granite-embedding	phi3		0.0%	0.0%	50.0%	0.69
0.4	granite-embedding	phi3		0.0%	0.0%	50.0%	0.59
0.6	granite-embedding	phi3		0.0%	0.0%	50.0%	0.57
0.8	granite-embedding	phi3		0.0%	0.0%	50.0%	0.59
